,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN
5155,5155,Hyundai,2022,1086.0,3rd Party,6.2,10000.0,Automatic,1st Owner,68.05,Petrol,5.0,20.3,Hatchback,Chennai,santro sportz amt,3W7H1WTN9HEY470SF
5156,5156,BMW,2012,1995.0,3rd Party,15.0,70000.0,Automatic,2nd Owner,218.0,Diesel,5.0,16.73,Sedan,Chennai,5 series 525d,7GR507GSX6MGWXN57
5157,5157,Volkswagen,2012,1598.0,3rd Party,2.32,90000.0,Manual,3rd Owner,105.0,Petrol,5.0,15.8,Sedan,Chennai,vento ipl ii petrol highline,MSWVKVWK3TH62RA2B
5158,5158,Mahindra,2009,2523.0,3rd Party,3.75,120000.0,Manual,3rd Owner,63.0,Diesel,7.0,13.6,MUV,Chennai,bolero di ac bsiii,LVV6WSWG0VZCNW0CA
5159,5159,Toyota,2023,1462.0,3rd Party,20.0,10000.0,Automatic,1st Owner,101.64,Petrol,5.0,20.58,SUV,Chennai,hyryder v at bsvi,XEF26R542K9D9FW1D
5160,5160,Volkswagen,2014,1198.0,3rd Party,3.5,120000.0,Manual,3rd Owner,74.0,Petrol,5.0,16.47,Hatchback,Chennai,polo 1.2 mpi highline,3XW3UPE789SHZRJWV
5161,5161,Ford,2020,1194.0,3rd Party,5.15,30000.0,Manual,2nd Owner,94.93,Petrol,5.0,18.5,Hatchback,Chennai,figo titanium,R13JA6WV1F4SZTXVN
5162,5162,BMW,2012,1995.0,3rd Party,10.0,70000.0,Automatic,2nd Owner,218.0,Diesel,5.0,16.73,Sedan,Chennai,5 series 525d,6K3TX48W06BL9UH6X
5163,5163,Maruti,2016,1248.0,3rd Party,6.46,73341.0,Automatic,2nd Owner,74.0,Diesel,5.0,26.59,Sedan,Chennai,swift dzire amt zdi,0UWMTAW61DYR2L1E3
5164,5164,Maruti,2018,998.0,3rd Party,3.76,43060.0,Manual,2nd Owner,67.05,Petrol,5.0,23.95,Hatchback,Chennai,alto k10 vxi optional,TK2AH7J082ZGL8STX
5165,5165,Hyundai,2010,1197.0,Comprehensive,2.73,50758.0,Manual,2nd Owner,78.9,Petrol,5.0,20.36,Hatchback,Chennai,i10 sportz 1.2,F403JD8UX2A3BF417
5166,5166,Maruti,2021,1197.0,3rd Party,7.52,63274.0,Manual,1st Owner,88.5,Petrol,5.0,22.41,Sedan,Chennai,swift dzire zxi bsvi,1L5MXC1GXDD2N6800
5167,5167,Hyundai,2016,1197.0,Comprehensive,5.79,44512.0,Manual,1st Owner,81.83,Petrol,5.0,18.6,Hatchback,Chennai,i20 sportz 1.2,H62594CY52P3GRR11
5168,5168,Hyundai,2017,1396.0,3rd Party,7.11,100844.0,Manual,2nd Owner,88.73,Diesel,5.0,21.19,Hatchback,Chennai,i20 active 1.4 sx,JRLR0Z763UD4VTKT3
5169,5169,Tata,2018,1199.0,3rd Party,5.67,39542.0,Automatic,2nd Owner,83.81,Petrol,5.0,20.3,Sedan,Chennai,tigor xza,PLB7MAEB1BTU00ZRX
5170,5170,Ford,2015,1499.0,Comprehensive,4.99,98459.0,Automatic,2nd Owner,110.4,Petrol,5.0,15.63,SUV,Chennai,ecosport 1.5 ti vct at titanium bsiv,CJCTBJU82YZFXVDET
5171,5171,Maruti,2019,796.0,Comprehensive,3.56,46120.0,Manual,1st Owner,47.33,Petrol,5.0,22.05,Hatchback,Chennai,alto 800 lxi,W2XKWPRKX18GCHF2V
5172,5172,Hyundai,2018,1591.0,3rd Party,8.26,32074.0,Manual,2nd Owner,121.3,Petrol,5.0,17.0,Sedan,Chennai,verna vtvt 1.6 sx,EGN009Z24FDGXASHJ
5173,5173,Mitsubishi,2011,1999.0,3rd Party,3.2,70000.0,Manual,2nd Owner,114.0,Petrol,5.0,13.17,Sedan,Chennai,cedia sports,37CDUM8V5SCG2HLVK
5174,5174,Maruti,2020,796.0,3rd Party,4.0,10000.0,Manual,1st Owner,47.33,Petrol,5.0,22.05,Hatchback,Chennai,alto 800 vxi plus bsvi,NS7J9SJ571NHEJM4R
5175,5175,Hyundai,2012,1591.0,3rd Party,4.5,50000.0,Manual,2nd Owner,121.3,Petrol,5.0,17.01,Sedan,Chennai,verna 1.6 sx vtvt,TFYKP6LK9DY4HA6YA
5176,5176,Maruti,2019,1197.0,3rd Party,7.5,70000.0,Automatic,1st Owner,81.8,Petrol,5.0,22.0,Hatchback,Chennai,swift amt zxi plus bsiv,FR4LM5ER6C24K4NJ3
5177,5177,Mercedes-Benz,2010,2143.0,3rd Party,9.0,70000.0,Automatic,3rd Owner,170.0,Diesel,5.0,14.84,Sedan,Chennai,c-class 220 cdi at,LXLES7TV4YH0BG5V7
5178,5178,Tata,2018,1248.0,3rd Party,5.25,100000.0,Manual,2nd Owner,74.0,Diesel,5.0,22.95,Sedan,Chennai,zest quadrajet 1.3 75ps xe,PCVYXTW5XZ4GK98RP
5179,5179,Skoda,2021,999.0,3rd Party,13.0,20000.0,Automatic,2nd Owner,113.98,Petrol,5.0,17.2,SUV,Chennai,kushaq 1.0 tsi style at bsvi,HJP7YED62P18KRTHG
5180,5180,Hyundai,2014,1197.0,Comprehensive,3.99,83041.0,Manual,2nd Owner,82.0,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 asta,TENALNAU4R3G0500P
5181,5181,Hyundai,2019,1086.0,Comprehensive,4.82,67988.0,Manual,1st Owner,68.0,Petrol,5.0,20.3,Hatchback,Chennai,santro magna bsiv,4NM18GR36VSS3A5VL
5182,5182,Maruti,2017,1373.0,3rd Party,5.79,52645.0,Manual,3rd Owner,91.1,Petrol,5.0,20.73,Sedan,Chennai,ciaz 1.4 alpha,ZJR8C6ST6D12K37EB
5183,5183,Honda,2020,1498.0,Comprehensive,10.9,37294.0,Manual,2nd Owner,119.35,Petrol,5.0,18.6,Sedan,Chennai,city vx mt,VU19ZSXN8WTHUYX5S
5184,5184,Maruti,2015,998.0,Comprehensive,3.54,93504.0,Manual,2nd Owner,65.71,Petrol,5.0,25.24,Hatchback,Chennai,celerio vxi,NRPGG4V64R1F30ZLB
5185,5185,Maruti,2014,998.0,Comprehensive,3.96,32831.0,Automatic,1st Owner,65.71,Petrol,5.0,26.68,Hatchback,Chennai,celerio vxi amt,HZJTCSR0468CDR25Z
5186,5186,Honda,2015,1498.0,Comprehensive,5.97,119887.0,Manual,1st Owner,98.6,Diesel,5.0,26.0,Sedan,Chennai,city i dtec sv,1U7GHATA960R4GSZD
5187,5187,Nissan,2019,1461.0,3rd Party,8.0,120000.0,Manual,1st Owner,108.49,Diesel,5.0,19.39,Hatchback,Chennai,kicks diesel,ZMYT44A35UJTYCW3T
5188,5188,Maruti,2019,1248.0,3rd Party,7.6,70000.0,Manual,1st Owner,88.5,Diesel,5.0,24.3,SUV,Chennai,vitara brezza vdi,DFNX66DF8VT7JUCZ8
5189,5189,Honda,2017,1199.0,3rd Party,5.5,30000.0,Manual,2nd Owner,88.7,Petrol,5.0,18.7,Hatchback,Chennai,jazz 1.2 vx i vtec,2ZB99REY7E88HMAYZ
5190,5190,Tata,2007,1396.0,3rd Party,1.0,110000.0,Manual,1st Owner,53.5,Diesel,5.0,17.2,Hatchback,Chennai,indica dls,PM76JYJD0YS62RE1S
5191,5191,Maruti,2023,998.0,3rd Party,5.9,10000.0,Manual,1st Owner,65.71,Petrol,5.0,24.35,Hatchback,Chennai,wagon r vxi bsvi,VJULZGZ36VR5K1V7F
5192,5192,Maruti,2021,1462.0,3rd Party,12.0,50000.0,Manual,1st Owner,103.26,Petrol,7.0,19.01,MUV,Chennai,ertiga zxi plus,AM22EKLC1DGUTWTKG
5193,5193,Honda,2019,1199.0,3rd Party,7.5,20000.0,Automatic,1st Owner,88.7,Petrol,5.0,18.2,Hatchback,Chennai,jazz vx cvt,96NSGV9W5R0H3BNHY
5194,5194,Maruti,2021,998.0,Zero Depreciation,6.52,13126.0,Automatic,1st Owner,65.71,Petrol,5.0,26.0,Hatchback,Chennai,celerio zxi amt,GSVH9MXM02EP1URAK
5195,5195,Hyundai,2015,814.0,Zero Depreciation,3.09,98204.0,Manual,1st Owner,55.2,Petrol,5.0,21.1,Hatchback,Chennai,eon era plus,WUP51AME610L6DED5
5196,5196,Maruti,2016,1248.0,Comprehensive,6.36,68177.0,Manual,2nd Owner,74.0,Diesel,5.0,25.2,Hatchback,Chennai,swift vdi bsiv,XUL6JATM5PRCFZCSH
5197,5197,Hyundai,2014,1396.0,Comprehensive,5.57,104336.0,Manual,2nd Owner,88.73,Diesel,5.0,22.54,Hatchback,Chennai,i20 asta 1.4 crdi,VEE8K3UR3CV863C9P
5198,5198,Maruti,2016,998.0,Comprehensive,3.07,54803.0,Manual,2nd Owner,65.71,Petrol,5.0,24.39,Hatchback,Chennai,alto k10 vxi,826PK4XG7JYWK9UWN
5199,5199,Maruti,2018,1248.0,Zero Depreciation,7.78,57828.0,Automatic,2nd Owner,74.02,Diesel,5.0,28.4,Sedan,Chennai,swift dzire amt zdi plus,9W0XATPUXE8FG726A
5200,5200,Maruti,2020,1197.0,3rd Party,6.03,76419.0,Manual,1st Owner,88.5,Petrol,5.0,22.38,Hatchback,Chennai,swift vxi,1DE04H6E6C7FSD1K6
5201,5201,Tata,2017,1199.0,Comprehensive,4.98,29594.0,Automatic,1st Owner,83.83,Petrol,5.0,23.84,Hatchback,Chennai,tiago 1.2 revotron xza,3Z1LNBYG98GEE7EHW
5202,5202,Maruti,2013,1197.0,Comprehensive,4.85,37357.0,Manual,1st Owner,88.5,Petrol,5.0,22.38,Hatchback,Chennai,swift vxi,GPS6FW9A7LCTPGRKL
5203,5203,Hyundai,2016,1197.0,Comprehensive,4.81,53042.0,Automatic,2nd Owner,82.0,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 at asta,RLKH7NSX0CK7HH1V6
5204,5204,Datsun,2018,1198.0,3rd Party,4.36,17003.0,Manual,1st Owner,67.05,Petrol,7.0,19.02,MUV,Chennai,go plus t,CNGY8J7V08SXGZ69J
5205,5205,Maruti,2019,1462.0,3rd Party,9.85,30000.0,Manual,1st Owner,103.0,Petrol,7.0,19.34,MUV,Chennai,ertiga zxi plus petrol,XW4TS21M7BZZ87U94
5206,5206,Maruti,2019,796.0,3rd Party,3.2,60000.0,Manual,2nd Owner,47.33,Petrol,5.0,22.05,Hatchback,Chennai,alto 800 lxi,EZ13DXTF5W1R6MUWX
5207,5207,Tata,2021,1497.0,3rd Party,8.0,30000.0,Manual,1st Owner,108.5,Diesel,5.0,21.5,SUV,Chennai,nexon xe diesel,ASVAAG494VCX4D2AX
5208,5208,Chevrolet,2008,1399.0,3rd Party,1.4,80000.0,Manual,3rd Owner,92.7,Petrol,5.0,14.49,Sedan,Chennai,aveo 1.4 ls,5FU0UF0P2146P3M2K
5209,5209,Audi,2012,4134.0,3rd Party,15.0,120000.0,Automatic,2nd Owner,335.2,Diesel,7.0,11.33,SUV,Chennai,q7 4.2 tdi quattro technology,HSYXZSDJ1EZ3K3D0T
5210,5210,Honda,2011,1497.0,3rd Party,3.65,110000.0,Manual,1st Owner,116.4,Petrol,5.0,16.8,Sedan,Chennai,city s,26SYE17A4EFFW7JA4
5211,5211,MG,2021,1956.0,3rd Party,18.5,60000.0,Manual,1st Owner,167.67,Diesel,6.0,16.65,SUV,Chennai,hector plus sharp diesel mt,X7GW3FNT415RV40TS
5212,5212,Hyundai,2019,1197.0,3rd Party,5.45,30000.0,Manual,1st Owner,81.86,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 1.2 kappa sportz bsiv,JZ8P2TRH1382K0LFP
5213,5213,Ford,2019,1497.0,3rd Party,7.86,20648.0,Manual,2nd Owner,121.31,Petrol,5.0,17.0,SUV,Chennai,ecosport 1.5 petrol titanium bsiv,1JF0K04A0UFALEYWP
5214,5214,Maruti,2016,998.0,Comprehensive,4.27,35671.0,Manual,1st Owner,67.04,Petrol,5.0,20.51,Hatchback,Chennai,wagon r vxi bs iv,WCDXYB0E912V14F7G
5215,5215,Honda,2020,1498.0,3rd Party,12.11,69617.0,Manual,1st Owner,119.35,Petrol,5.0,18.6,Sedan,Chennai,city zx mt,BRLW7WBU0TN22YRSS
5216,5216,Hyundai,2016,1197.0,Comprehensive,5.49,32797.0,Manual,2nd Owner,82.0,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 asta option,UERMBZP5980636R1D
5217,5217,Hyundai,2019,1197.0,3rd Party,5.38,37218.0,Manual,2nd Owner,81.86,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 1.2 kappa sportz bsiv,CSP0WN831055231YP
5218,5218,Honda,2017,1497.0,3rd Party,8.35,66967.0,Automatic,2nd Owner,117.3,Petrol,5.0,18.0,Sedan,Chennai,city i vtec cvt vx,W0KHPACX60WLLG950
5219,5219,Hyundai,2011,1197.0,3rd Party,3.04,50046.0,Manual,3rd Owner,80.0,Petrol,5.0,17.0,Hatchback,Chennai,i20 1.2 sportz option,TGE0SJKP928HKX5CX
