,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
4860,4860,4860,Toyota,2021,1462.0,Comprehensive,10.61,57000.0,Automatic,1st Owner,103.26,Petrol,5.0,18.76,SUV,Ahmedabad,Urban,N8RYUURZ1H5C3WWPE,cruiser Premium AT
4861,4861,4861,Maruti,2018,1373.0,3rd Party,6.45,61000.0,Manual,1st Owner,91.1,Petrol,5.0,20.73,Sedan,Ahmedabad,Ciaz,DCC4MXU13M5PYLGPH,1.4 Alpha
4862,4862,4862,Mercedes-Benz,2013,2143.0,Comprehensive,11.5,65000.0,Automatic,1st Owner,170.0,Diesel,5.0,10.0,Sedan,Ahmedabad,E-Class,MD5VD7M1X4JSN0XSB,Elegance 220 CDI
4863,4863,4863,Honda,2017,1199.0,3rd Party,6.4,43000.0,Manual,1st Owner,88.7,Petrol,5.0,17.5,SUV,Ahmedabad,WR-V,HU7DBD320WBZYHEJZ,i-VTEC S
4864,4864,4864,Volkswagen,2017,1197.0,3rd Party,7.7,35000.0,Automatic,1st Owner,103.2,Petrol,5.0,18.19,Sedan,Ahmedabad,Vento,70C1NXBEXC76YGCHN,1.2 TSI Highline AT
4865,4865,4865,Honda,2016,1498.0,3rd Party,6.31,50000.0,Manual,1st Owner,98.6,Diesel,5.0,26.0,Sedan,Ahmedabad,City,03UWW7LU6247D0YDX,i DTec E
4866,4866,4866,Hyundai,2013,814.0,Comprehensive,1.9,66846.0,Manual,1st Owner,55.2,Petrol,5.0,21.1,Hatchback,Ahmedabad,EON,ANDABERNX7LGWRTK4,Era Plus
4867,4867,4867,Toyota,2011,1798.0,3rd Party,3.9,92000.0,Manual,2nd Owner,138.1,Petrol,5.0,14.53,Sedan,Ahmedabad,Corolla,NHHCNUL59W3JS1197,Altis G
4868,4868,4868,Tata,2019,1956.0,3rd Party,13.75,85151.0,Manual,1st Owner,138.1,Diesel,5.0,17.0,SUV,Ahmedabad,Harrier,WKTSSDYR1380DM49G,XZ BSIV
4869,4869,4869,Honda,2017,1498.0,Comprehensive,7.75,88923.0,Manual,1st Owner,98.6,Diesel,7.0,21.9,SUV,Ahmedabad,BR-V,BVWTJRJF4KKHSUVRX,i-DTEC S MT
